Population,BFS
21036,4001
18742,131
10184,2761
11900,2
9961,5401
20695,2762
9211,1201
11438,3251
13346,4461
5825,3101
14340,4401
9287,2763
3219,3921
11735,1362
24129,1701
19222,4021
171017,2701
11616,52
42901,5002
11534,861
133115,351
54456,371
15391,2765
10469,2766
13158,6002
11204,4095
12531,4003
22523,2125
16295,404
8268,5624
19611,53
21868,6608
16216,1702
8331,5250
34880,3901
11489,6612
7869,5583
11060,3851
12562,6711
27076,243
27689,191
13313,1054
12342,5635
15361,1301
30228,1024
10505,3402
25200,4566
16196,1322
38829,2196
198979,6621
12997,5721
12515,1632
18057,1630
18055,3443
16985,2546
15730,3001
11095,117
20291,133
13884,1058
16796,296
5673,578
11388,362
19086,62
21560,4671
27110,1059
40938,355
14192,154
38965,6421
3693,723
11652,5889
31661,6628
15501,329
137810,5586
12075,6623
10433,6436
9503,4201
14148,2829
16122,5113
63932,5192
81592,1061
14706,306
17998,6136
13762,156
15110,5254
23044,6630
17573,6153
26629,5886
15889,5642
7586,700
13037,356
8168,2275
17723,2770
10830,155
10913,4254
10122,546
12119,2769
12396,616
33772,6458
10407,2937
20272,5724
11245,93
13511,4280
18166,2581
18825,6631
19599,66
17127,363
9486,5822
5926,6412
11774,177
10571,6633
6876,6800
16153,2831
12063,5589
17972,5590
26962,3340
18191,96
20523,5591
13337,4258
13352,138
20895,2703
10355,1707
10803,4436
9408,3215
12086,118
10233,1407
36148,2939
18749,247
14885,1372
16817,6248
34353,6266
16697,2601
12713,768
11531,4040
75481,3203
5084,3787
8333,1509
15783,939
9735,1708
14291,158
9990,4012
9621,1103
17789,141
43568,942
13906,6640
9657,250
34319,198
12816,3408
34983,6643
13247,6644
19780,5890
11535,6645
12128,2228
7726,6297
18582,199
15934,69
11288,4946
20535,4045
24640,4182
23751,3427
109775,230
15824,4082
11473,6627
29977,5938
5714,6300
11560,4289
10235,361
12791,161
8842,2534
29804,1711
402762,261
